precise	kind	title	path	declaration
c:objc(cs)UNNotificationContent(py)targetContentIdentifier	swift.property	targetContentIdentifier	UNNotificationContent.targetContentIdentifier	var targetContentIdentifier: String? { get }
c:objc(cs)UNNotificationContent(py)threadIdentifier	swift.property	threadIdentifier	UNNotificationContent.threadIdentifier	var threadIdentifier: String { get }
c:objc(cs)UNNotificationContent(py)title	swift.property	title	UNNotificationContent.title	var title: String { get }
c:objc(cs)UNNotificationContent(py)userInfo	swift.property	userInfo	UNNotificationContent.userInfo	var userInfo: [AnyHashable : Any] { get }
c:objc(cs)UNNotificationRequest	swift.class	UNNotificationRequest	UNNotificationRequest	class UNNotificationRequest
c:objc(cs)UNNotificationRequest(cm)requestWithIdentifier:content:trigger:	swift.init	init(identifier:content:trigger:)	UNNotificationRequest.init(identifier:content:trigger:)	convenience init(identifier: String, content: UNNotificationContent, trigger: UNNotificationTrigger?)
c:objc(cs)UNNotificationRequest(py)content	swift.property	content	UNNotificationRequest.content	@NSCopying var content: UNNotificationContent { get }
c:objc(cs)UNNotificationRequest(py)identifier	swift.property	identifier	UNNotificationRequest.identifier	var identifier: String { get }
c:objc(cs)UNNotificationRequest(py)trigger	swift.property	trigger	UNNotificationRequest.trigger	@NSCopying var trigger: UNNotificationTrigger? { get }
c:objc(cs)UNNotificationResponse	swift.class	UNNotificationResponse	UNNotificationResponse	class UNNotificationResponse
c:objc(cs)UNNotificationResponse(py)actionIdentifier	swift.property	actionIdentifier	UNNotificationResponse.actionIdentifier	var actionIdentifier: String { get }
c:objc(cs)UNNotificationResponse(py)notification	swift.property	notification	UNNotificationResponse.notification	@NSCopying var notification: UNNotification { get }
c:objc(cs)UNNotificationServiceExtension	swift.class	UNNotificationServiceExtension	UNNotificationServiceExtension	class UNNotificationServiceExtension
c:objc(cs)UNNotificationServiceExtension(im)didReceiveNotificationRequest:withContentHandler:	swift.method	didReceive(_:withContentHandler:)	UNNotificationServiceExtension.didReceive(_:withContentHandler:)	func didReceive(_ request: UNNotificationRequest, withContentHandler contentHandler: @escaping (UNNotificationContent) -> Void)
c:objc(cs)UNNotificationServiceExtension(im)serviceExtensionTimeWillExpire	swift.method	serviceExtensionTimeWillExpire()	UNNotificationServiceExtension.serviceExtensionTimeWillExpire()	func serviceExtensionTimeWillExpire()
c:objc(cs)UNNotificationSettings	swift.class	UNNotificationSettings	UNNotificationSettings	class UNNotificationSettings
c:objc(cs)UNNotificationSettings(py)alertSetting	swift.property	alertSetting	UNNotificationSettings.alertSetting	var alertSetting: UNNotificationSetting { get }
c:objc(cs)UNNotificationSettings(py)alertStyle	swift.property	alertStyle	UNNotificationSettings.alertStyle	var alertStyle: UNAlertStyle { get }
c:objc(cs)UNNotificationSettings(py)announcementSetting	swift.property	announcementSetting	UNNotificationSettings.announcementSetting	var announcementSetting: UNNotificationSetting { get }
c:objc(cs)UNNotificationSettings(py)authorizationStatus	swift.property	authorizationStatus	UNNotificationSettings.authorizationStatus	var authorizationStatus: UNAuthorizationStatus { get }
c:objc(cs)UNNotificationSettings(py)badgeSetting	swift.property	badgeSetting	UNNotificationSettings.badgeSetting	var badgeSetting: UNNotificationSetting { get }
c:objc(cs)UNNotificationSettings(py)carPlaySetting	swift.property	carPlaySetting	UNNotificationSettings.carPlaySetting	var carPlaySetting: UNNotificationSetting { get }
