precise	kind	title	path	declaration
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV05totalF8Duration017previouslyElapsedH09startDate04fireL0AGSd_Sd10Foundation0L0VANtcfc	swift.init	init(totalCountdownDuration:previouslyElapsedDuration:startDate:fireDate:)	AlarmPresentationState.Mode.Countdown.init(totalCountdownDuration:previouslyElapsedDuration:startDate:fireDate:)	init(totalCountdownDuration: TimeInterval, previouslyElapsedDuration: TimeInterval, startDate: Date, fireDate: Date)
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV05totalF8DurationSdvp	swift.property	totalCountdownDuration	AlarmPresentationState.Mode.Countdown.totalCountdownDuration	var totalCountdownDuration: TimeInterval
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV25previouslyElapsedDurationSdvp	swift.property	previouslyElapsedDuration	AlarmPresentationState.Mode.Countdown.previouslyElapsedDuration	var previouslyElapsedDuration: TimeInterval
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV2eeoiySbAG_AGtFZ	swift.func.op	==(_:_:)	AlarmPresentationState.Mode.Countdown.==(_:_:)	static func == (a: AlarmPresentationState.Mode.Countdown, b: AlarmPresentationState.Mode.Countdown) -> Bool
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV4fromAGs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentationState.Mode.Countdown.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AlarmPresentationState.Mode.Countdown.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentationState.Mode.Countdown.encode(to:)	func encode(to encoder: any Encoder) throws
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV8fireDate10Foundation0H0Vvp	swift.property	fireDate	AlarmPresentationState.Mode.Countdown.fireDate	var fireDate: Date
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV9hashValueSivp	swift.property	hashValue	AlarmPresentationState.Mode.Countdown.hashValue	var hashValue: Int { get }
s:8AlarmKit0A17PresentationStateV4ModeO9CountdownV9startDate10Foundation0H0Vvp	swift.property	startDate	AlarmPresentationState.Mode.Countdown.startDate	var startDate: Date
s:8AlarmKit0A17PresentationStateV4ModeO9countdownyA2E9CountdownVcAEmF	swift.enum.case	AlarmPresentationState.Mode.countdown(_:)	AlarmPresentationState.Mode.countdown(_:)	case countdown(AlarmPresentationState.Mode.Countdown)
s:8AlarmKit0A17PresentationStateV4ModeO9hashValueSivp	swift.property	hashValue	AlarmPresentationState.Mode.hashValue	var hashValue: Int { get }
s:8AlarmKit0A17PresentationStateV4fromACs7Decoder_p_tKcfc	swift.init	init(from:)	AlarmPresentationState.init(from:)	init(from decoder: any Decoder) throws
s:8AlarmKit0A17PresentationStateV4hash4intoys6HasherVz_tF	swift.method	hash(into:)	AlarmPresentationState.hash(into:)	func hash(into hasher: inout Hasher)
s:8AlarmKit0A17PresentationStateV4modeAC4ModeOvp	swift.property	mode	AlarmPresentationState.mode	var mode: AlarmPresentationState.Mode
s:8AlarmKit0A17PresentationStateV6encode2toys7Encoder_p_tKF	swift.method	encode(to:)	AlarmPresentationState.encode(to:)	func encode(to encoder: any Encoder) throws
